"file","grade","reason","has_seed","has_ramp","has_plateau","has_exit","has_corridor","seed_ts","plateau_ts","top_tier_peak_count","frame116_count"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_171201_000.ndjson","D","no seed/corridor pattern","False","False","False","False","False",,,"0","1429"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_171345_000.ndjson","D","no seed/corridor pattern","False","False","False","False","False",,,"0","0"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_171358_000.ndjson","D","no seed/corridor pattern","False","False","False","False","False",,,"0","0"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_171413_000.ndjson","B","touches fff4|fff4 + 0000 but lacks full lifecycle","True","True","False","False","True","1773594933520",,"0","29920"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_172836_001.ndjson","B","touches fff4|fff4 + 0000 but lacks full lifecycle","True","True","False","False","True","1773595883509",,"0","29855"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_174224_002.ndjson","B","touches fff4|fff4 + 0000 but lacks full lifecycle","True","True","False","False","True","1773596639643",,"0","30000"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_175618_003.ndjson","C","corridor activity without full seed state","False","True","True","True","True",,"1773597786683","1","30056"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_181004_004.ndjson","B","touches fff4|fff4 + 0000 but lacks full lifecycle","True","True","False","False","True","1773598318117",,"0","16592"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_171226_000.ndjson","D","no seed/corridor pattern","False","False","False","False","False",,,"0","1423"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_171346_000.ndjson","D","no seed/corridor pattern","False","False","False","False","False",,,"0","0"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_171359_000.ndjson","D","no seed/corridor pattern","False","False","False","False","False",,,"0","0"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_171414_000.ndjson","B","touches fff4|fff4 + 0000 but lacks full lifecycle","True","True","False","False","True","1773594933520",,"0","24011"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_172552_001.ndjson","B","touches fff4|fff4 + 0000 but lacks full lifecycle","True","True","False","False","True","1773595883509",,"0","23896"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_173655_002.ndjson","B","touches fff4|fff4 + 0000 but lacks full lifecycle","True","True","False","False","True","1773596639643",,"0","24039"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_174807_003.ndjson","C","corridor activity without full seed state","False","True","False","False","True",,,"0","24083"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_175912_004.ndjson","C","corridor activity without full seed state","False","True","True","True","True",,"1773597786683","1","24113"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_181013_005.ndjson","B","touches fff4|fff4 + 0000 but lacks full lifecycle","True","True","False","False","True","1773598318117",,"0","16281"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_UNKNOWN_20260315_171201_000.ndjson","D","no seed/corridor pattern","False","False","False","False","False",,,"0","6"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_UNKNOWN_20260315_171345_000.ndjson","D","no seed/corridor pattern","False","False","False","False","False",,,"0","0"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_UNKNOWN_20260315_171358_000.ndjson","D","no seed/corridor pattern","False","False","False","False","False",,,"0","0"
"D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_UNKNOWN_20260315_171413_000.ndjson","D","no seed/corridor pattern","False","False","False","False","False",,,"0","0"
