sample_id,regime,decode_mode,sample_path,frames_260,duration_min,parse_errors,min_setpoint,max_setpoint,p05_setpoint,p50_setpoint,p95_setpoint,neutral_band_ratio,max_abs_delta,avg_abs_delta,p95_abs_delta,positive_ratio,negative_ratio
anchor_190101,anchor,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,17382,6.73,0,-17712.0,17150.0,-512.0,287.0,9426.0,0.037,34049.0,196.77,516.0,0.499,0.5
anchor_190101,anchor,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,17382,6.73,0,-17712.0,16890.0,-9319.0,-256.0,3054.95,0.008,3416.0,111.382,288.0,0.134,0.866
partial_171414,partial_ramp,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,27306,11.14,0,-12066.0,10479.0,-246.0,55.0,2195.25,0.028,21757.0,77.377,268.0,0.344,0.655
partial_171414,partial_ramp,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,27306,11.14,0,-12066.0,7957.0,-938.0,19.0,1244.75,0.023,1338.0,69.905,268.0,0.221,0.779
compact_184921,compact_partial,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,7877,3.08,0,-760.0,7981.0,-250.0,288.0,2503.4,0.086,1024.0,65.55,266.0,0.499,0.5
compact_184921,compact_partial,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,7877,3.08,0,-3041.0,7981.0,-624.0,-201.0,2472.2,0.002,810.0,63.408,265.0,0.272,0.728
city_20260418_175240,city_hold,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,12104,4.82,0,-9470.0,26552.0,-512.0,0.0,14016.0,0.014,18695.0,118.085,267.0,0.33,0.67
city_20260418_175240,city_hold,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,12104,4.82,0,-8184.0,26552.0,-910.0,-256.0,14016.0,0.003,5266.0,96.821,265.0,0.234,0.766
entry_20260426_015302,entry_side,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,12246,4.94,0,-7995.0,9965.0,-256.0,62.0,2026.0,0.093,15622.0,108.957,273.0,0.384,0.615
entry_20260426_015302,entry_side,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,12246,4.94,0,-7995.0,9965.0,-1896.5,-48.0,650.0,0.008,1573.0,81.435,271.0,0.13,0.87
